CITY,ID,HOP,LONGITUDE,LATITUDE,IP,DATE_CREATED
Monroe,0000e459-0cfb-47a0-9a6c-ff8d92e3ebef,1,-84.40153,39.44047,4.68.110.158,"2021-01-31 16:06:12.489-0500"
Miami,0000e459-0cfb-47a0-9a6c-ff8d92e3ebef,2,-80.19313,25.78236,66.110.72.157,"2021-01-31 16:06:12.544-0500"
"Greenwood Village",001f1337-9e34-4ff8-b7be-db46b376867f,1,-104.89234,39.60506,129.250.207.173,"2021-01-19 16:04:04.434-0700"
Neu-Isenburg,001f1337-9e34-4ff8-b7be-db46b376867f,2,8.68976,50.04494,213.200.113.142,"2021-01-20 00:04:04.540+0100"
"Greenwood Village",001f1337-9e34-4ff8-b7be-db46b376867f,3,-104.89234,39.60506,129.250.4.21,"2021-01-19 16:04:04.625-0700"
Madrid,001f1337-9e34-4ff8-b7be-db46b376867f,4,-3.66682,40.51683,5.53.3.202,"2021-01-20 00:04:04.689+0100"
Madrid,001f1337-9e34-4ff8-b7be-db46b376867f,5,-3.66682,40.51683,176.52.252.207,"2021-01-20 00:04:04.752+0100"
Madrid,001f1337-9e34-4ff8-b7be-db46b376867f,6,-3.66682,40.51683,94.142.118.98,"2021-01-20 00:04:04.803+0100"
Madrid,001f1337-9e34-4ff8-b7be-db46b376867f,7,-3.66682,40.51683,94.142.118.98,"2021-01-20 00:04:04.863+0100"
Miami,002059eb-ec27-4390-9e06-d795f7a6e901,1,-80.19295,25.77583,206.41.108.23,"2021-01-16 17:02:02.953-0500"
Fremont,002059eb-ec27-4390-9e06-d795f7a6e901,2,-121.93088,37.49103,216.66.15.254,"2021-01-16 14:02:03.016-0800"
"North Miami Beach",002059eb-ec27-4390-9e06-d795f7a6e901,3,-80.15635,25.9229,69.79.100.0,"2021-01-16 17:02:03.067-0500"
"North Miami Beach",002059eb-ec27-4390-9e06-d795f7a6e901,4,-80.15635,25.9229,69.79.100.47,"2021-01-16 17:02:03.141-0500"
"Bogota, D.C.",002059eb-ec27-4390-9e06-d795f7a6e901,5,-74.14678,4.62415,190.242.166.53,"2021-01-16 17:02:03.191-0500"
"George Town",002059eb-ec27-4390-9e06-d795f7a6e901,6,-81.32211,19.28169,208.169.81.100,"2021-01-16 17:02:03.252-0500"
Miami,002448d5-41ad-4610-b6bf-8c29d85fee9e,1,-80.19295,25.77583,206.41.108.23,"2021-01-12 01:02:12.484-0500"
Fremont,002448d5-41ad-4610-b6bf-8c29d85fee9e,2,-121.93088,37.49103,216.66.15.254,"2021-01-11 22:02:12.575-0800"
"North Miami Beach",002448d5-41ad-4610-b6bf-8c29d85fee9e,3,-80.15635,25.9229,69.79.100.0,"2021-01-12 01:02:12.633-0500"
Roseau,002448d5-41ad-4610-b6bf-8c29d85fee9e,4,-61.38853,15.2982,69.57.241.4,"2021-01-12 02:02:12.684-0400"
"Bogota, D.C.",002448d5-41ad-4610-b6bf-8c29d85fee9e,5,-74.14678,4.62415,190.242.166.53,"2021-01-12 01:02:12.737-0500"
Neu-Isenburg,00526ead-dfef-46f1-8e8c-e0ca047f8685,1,8.68976,50.04494,173.205.61.209,"2021-01-09 15:04:05.283+0100"
"Greenwood Village",00526ead-dfef-46f1-8e8c-e0ca047f8685,2,-104.89234,39.60506,129.250.3.142,"2021-01-09 07:04:05.330-0700"
Neu-Isenburg,00526ead-dfef-46f1-8e8c-e0ca047f8685,3,8.68976,50.04494,213.200.113.142,"2021-01-09 15:04:05.375+0100"
Madrid,00526ead-dfef-46f1-8e8c-e0ca047f8685,4,-3.66682,40.51683,94.142.99.222,"2021-01-09 15:04:05.430+0100"
Madrid,00526ead-dfef-46f1-8e8c-e0ca047f8685,5,-3.66682,40.51683,94.142.98.68,"2021-01-09 15:04:05.476+0100"
Fremont,005801d8-b6fd-4ceb-8b76-2ef1e424586c,1,-121.93088,37.49103,216.66.15.254,"2021-01-21 23:02:11.421-0800"
Luquillo,005801d8-b6fd-4ceb-8b76-2ef1e424586c,2,-65.72165,18.37267,69.79.104.1,"2021-01-22 03:02:11.474-0400"
"North Miami Beach",005801d8-b6fd-4ceb-8b76-2ef1e424586c,3,-80.15635,25.9229,69.79.100.47,"2021-01-22 02:02:11.545-0500"
"North Miami Beach",005801d8-b6fd-4ceb-8b76-2ef1e424586c,4,-80.15635,25.9229,69.79.100.47,"2021-01-22 02:02:11.626-0500"
"George Town",005801d8-b6fd-4ceb-8b76-2ef1e424586c,5,-81.32211,19.28169,208.169.81.100,"2021-01-22 02:02:11.671-0500"
Monroe,007ca358-8460-43b0-8789-fbf2ef74f824,1,-84.40153,39.44047,4.68.110.158,"2021-01-24 11:06:12.428-0500"
Miami,007ca358-8460-43b0-8789-fbf2ef74f824,2,-80.19313,25.78236,66.110.72.157,"2021-01-24 11:06:12.495-0500"
Miami,00a9eba6-0d12-47d5-933e-4fdb2b67c009,1,-80.19295,25.77583,206.41.108.150,"2021-01-06 20:00:12.537-0500"
Managua,00a9eba6-0d12-47d5-933e-4fdb2b67c009,2,-86.22403,12.15056,170.80.19.94,"2021-01-06 19:00:12.589-0600"
"Ciudad Sandino",00a9eba6-0d12-47d5-933e-4fdb2b67c009,3,-86.36413,12.15919,190.107.210.236,"2021-01-06 19:00:12.669-0600"
Managua,00a9eba6-0d12-47d5-933e-4fdb2b67c009,4,-86.22403,12.15056,170.80.19.94,"2021-01-06 19:00:12.743-0600"
"Ciudad Sandino",00a9eba6-0d12-47d5-933e-4fdb2b67c009,5,-86.36413,12.15919,190.107.210.236,"2021-01-06 19:00:12.793-0600"
Managua,00a9eba6-0d12-47d5-933e-4fdb2b67c009,6,-86.22403,12.15056,170.80.19.94,"2021-01-06 19:00:12.846-0600"
